keypoint,x,y,score
nose,0.35890716314315796,0.4919774532318115,0.5476587414741516
left_eye,0.39448094367980957,0.4567594528198242,0.5204941034317017
right_eye,0.33762794733047485,0.46233201026916504,0.5478885769844055
left_ear,0.4709627032279968,0.46795302629470825,0.752431333065033
right_ear,0.3373715877532959,0.47176989912986755,0.5615515112876892
left_shoulder,0.5615420341491699,0.5616136789321899,0.5536460280418396
right_shoulder,0.30945688486099243,0.5990949869155884,0.6963644027709961
left_elbow,0.6646655797958374,0.7583445906639099,0.2723747491836548
right_elbow,0.149802103638649,0.7220149040222168,0.5803168416023254
left_wrist,0.4926872253417969,0.8586100339889526,0.16497518122196198
right_wrist,0.01689288765192032,0.8093249201774597,0.25546079874038696
left_hip,0.5650177597999573,0.9045779705047607,0.3100556433200836
right_hip,0.3955099582672119,0.8927797675132751,0.398677259683609
left_knee,0.475688636302948,0.8572410345077515,0.12799379229545593
right_knee,0.27882128953933716,0.8541867733001709,0.10883400589227676
left_ankle,0.46796533465385437,0.8698760271072388,0.2130877822637558
right_ankle,0.27674514055252075,0.853369951248169,0.14289052784442902
