keypoint,x,y,score
nose,0.4850711226463318,0.4482294023036957,0.7273432016372681
left_eye,0.5105324983596802,0.4270409941673279,0.7489908337593079
right_eye,0.47182774543762207,0.4266142249107361,0.6843169927597046
left_ear,0.5616289377212524,0.43902063369750977,0.5066298842430115
right_ear,0.47272905707359314,0.433003306388855,0.6388960480690002
left_shoulder,0.6520771980285645,0.5341920256614685,0.7720517516136169
right_shoulder,0.41896137595176697,0.528292715549469,0.8042970895767212
left_elbow,0.8171483874320984,0.5055850744247437,0.7625042200088501
right_elbow,0.28384333848953247,0.536666989326477,0.6161360144615173
left_wrist,0.6583079099655151,0.4276953637599945,0.28561457991600037
right_wrist,0.22365735471248627,0.47751232981681824,0.5594017505645752
left_hip,0.5871533155441284,0.8519403338432312,0.7604273557662964
right_hip,0.42633911967277527,0.8410139083862305,0.6499419808387756
left_knee,0.5939136147499084,0.8777942657470703,0.026257053017616272
right_knee,0.270017147064209,0.8506792783737183,0.0947832241654396
left_ankle,0.4369930922985077,0.8457534313201904,0.10066184401512146
right_ankle,0.44411182403564453,0.8486690521240234,0.05693874880671501
